contest,total.votes,year,city,office,state,council.manager,pres_pctD_08,pres_pctD_16,pres_pctD_20,month,incumbent,margin,pop.estimate,percent_men,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,turnout,log.pop,concurrent,gubernatorial,meanD,mayor,concurrent_pres,concurrent_mid,mayor_elec,same_months,has_mayor,distance,weights,subclass
1230000_2013_11_hialeah_FL_Mayor_mayor_1,18256,2013,hialeah city,Mayor,Florida,0,0.359791444023446,0.498377928341755,0.327025900565645,11,1,67.62012436404748,187550,47.6,52.4,94.5,2.3,95.1,0.5,9.733937616635563,12.141800755510031,none,0,0.39506509097694864,1,0,0,1,NA,1,0.557610803511981,1,20
1245000_2013_11_miami_FL_Mayor_mayor_1,26169,2013,miami city,Mayor,Florida,1,0.608076882680391,0.705214823053742,0.596543778801843,11,1,77.84553730888182,331970,49.9,50.1,75.9,20.3,70.3,1.1,7.882941229629184,12.71279988237,none,0,0.6366118281786587,1,0,0,1,NA,1,0.5008062520824064,1,87
1756640_2013_4_orland park_IL_Mayor_mayor_1,4346,2013,orland park village,Mayor,Illinois,1,0.471034088745001,0.447377442577991,0.4757333166552,4,1,100,45574,46.5,53.5,90.8,2.8,6.2,6.7,9.536139026637995,10.72709265745205,none,0,0.464714949326064,1,0,0,1,NA,1,0.6795753872610701,1,66
2071000_2013_4_topeka_KS_Mayor_mayor_1,10951,2013,topeka city,Mayor,Kansas,1,0.550494174810888,0.553690226369603,0.587079755289892,4,0,32.754999543420695,96600,48.1,51.9,82.1,13.9,13.6,2.2,11.336438923395445,11.47833402020061,none,0,0.5637547188234611,1,0,0,1,NA,1,0.5208248464083076,1,4
2208920_2013_4_bossier city_LA_Mayor_mayor_1,1,2013,bossier city city,Mayor,Louisiana,0,0.353473322768093,0.392052384926494,0.448901797059357,4,1,100,47520,47.8,52.2,68.4,28.4,6.9,2.9,0.0021043771043771,10.768905954036526,none,0,0.398142501584648,1,0,0,1,NA,1,0.41480381703655844,1,21
2537490_2013_11_lynn_MA_Mayor_mayor_1,15661,2013,lynn city,Mayor,Massachusetts,1,0.699292981548543,0.70417791898332,0.702881409068886,11,1,18.229998084413513,67718,48.1,51.9,63,17.2,32.7,7.4,23.12679051360052,11.123107302438244,none,0,0.7021174365335829,1,0,0,1,NA,1,0.7762401990701195,1,17
2674900_2013_11_southfield_MI_Mayor_mayor_1,9966,2013,southfield city,Mayor,Michigan,1,0.889890851173467,0.892974753018661,0.877868068833652,11,1,100,57083,44.7,55.3,26.5,72.7,1.6,2.2,17.45878808051434,10.952261628023257,none,0,0.8869112243419267,1,0,0,1,NA,1,0.19620432121571305,1,89
2686000_2013_11_westland_MI_Mayor_mayor_1,5634,2013,westland city,Mayor,Michigan,0,0.659933627740469,0.587671348078379,0.598543834263534,11,1,100,65729,46.8,53.2,78.1,18.4,2.6,3.9,8.57155897701167,11.09329550738866,none,0,0.6153829366941274,1,0,0,1,NA,1,0.4871926198614553,1,22
3451000_2013_11_newark_NJ_Mayor_mayor_1,1,2013,newark city,Mayor,New Jersey,0,0.944970561893436,0.932894904865279,0.876765132432639,11,0,100,206586,50,50,31.2,55.7,34.1,1.8,4.8405990725412177e-4,12.238472069576831,midterm,1,0.9182101997304514,1,0,1,1,1,1,0.30021435656972156,1,24
3702140_2013_11_asheville_NC_City Council_at-large b_3,32521,2013,asheville city,City Council,North Carolina,1,0.776959693161193,0.767251361667453,0.79849615622019,11,1,1.068988318271986,68422,47.5,52.5,84.5,13.4,6.8,1.9,47.53003419952647,11.133449689323314,none,0,0.7809024036829454,0,0,0,0,1,1,0.7405460000896166,1,76
