...1,fips,state,geo_name,population_2020,mass_ideology_2020,mass_ideology_2020_se,pres_pctD_20,pres_pctD_16,pres_pctD_08,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american,geo_type,council.manager
296,1235875,Florida,Jupiter town,61047,-0.098219686,0.079889142,0.432981316,0.424490456,0.495594297,0.515077829,0.782777046,0.014466042,0.148377604,0.034043212,City,1
822,5135624,Virginia,Harrisonburg city,51814,-0.041239493,0.076576149,0.663456329,0.619885881,0.5804576,0.520432489,0.661366921,0.074071293,0.197435849,0.050794962,City,1
773,4848804,Texas,Missouri City city,74259,-0.042806163,0.064284034,0.693779556,0.705140831,0.654651399,0.52148021,0.21775286,0.419102163,0.166369355,0.188580549,City,1
702,4459000,Rhode Island,Providence city,190934,-0.350217422,0.056973956,0.819127779,0.854650723,0.83448402,0.516006106,0.330685148,0.168317604,0.43320111,0.066971598,City,0
538,2735180,Minnesota,Lakeville city,69490,0.049919276,0.086641758,0.495098399,0.435677585,0.448431997,0.500023469,0.833747946,0.024188375,0.050129078,0.070014863,City,0
638,3733120,North Carolina,Huntersville town,61376,0.068003281,0.084613786,0.510246545,0.448439688,0.436531235,0.509378349,0.753394069,0.124633798,0.067488389,0.034869596,City,1
383,1714000,Illinois,Chicago city,2746388,-0.361844197,0.036737918,0.838905095,0.870783569,0.861763339,0.513646627,0.33281331771441103,0.296161628,0.287934014,0.074167735,City,0
545,2757220,Minnesota,St. Louis Park city,50010,-0.340093146,0.080112502,0.777045354,0.755374826,0.700267587,0.514555129,0.809766419,0.069149701,0.042217064,0.057152248,City,1
251,877290,Colorado,Thornton city,141867,-0.160925514,0.055821297,0.57495894,0.535174538,0.591566487,0.502717947,0.56066429,0.020983722,0.341789169,0.060028641,City,1
521,2674900,Michigan,Southfield city,76618,-0.260349069,0.066073234,0.877868069,0.892974753,0.889890851,0.54768087,0.22357668,0.69426299,0.017970864,0.024516905,City,1
21,428380,Arizona,Goodyear city,95294,0.185683185,0.072768164,0.469892473,0.443366154,0.408154953,0.52608528,0.555872143,0.076644561,0.279926839,0.052742905,City,1
289,1224581,Florida,Four Corners CDP,56381,-0.127773697,0.059375056,0.589477988,0.579181982,0.545492662,0.494710244,0.508076324,0.117177537,0.347943135,0.028267133,City,NA
798,4880356,Texas,Wylie city,57526,-0.081405764,0.082554292,0.442030842,0.375491724,0.35773726,0.517655098,0.541329207,0.120159167,0.211157781,0.092204425,City,1
723,4748000,Tennessee,Memphis city,633104,-0.153848473,0.041378601,0.77922221,0.776561938,0.760758553,0.526852494,0.256851942,0.64112975,0.071906272,0.019314898,City,0
592,3451000,New Jersey,Newark city,311549,-0.31085296,0.050023661,0.876765132,0.932894905,0.944970562,0.512065297,0.10969778,0.501284451,0.363019206,0.019569193,City,0
445,2079000,Kansas,Wichita city,397532,-0.001354598,0.041476057,0.496969333,0.456367895,0.475529801,0.508229519,0.627577415,0.109455033,0.171977316,0.057507881,City,0
246,843000,Colorado,Lakewood city,155984,-0.126362853,0.051653539125891997,0.644539591,0.590253255,0.595907854,0.506774264,0.689660062,0.013735449,0.229628866,0.042366545,City,1
312,1250750,Florida,Ocala city,63591,0.065600853,0.057422797,0.437474775,0.437872607,0.502334111,0.503889179,0.593888673,0.202507297,0.157271331,0.026709636,City,1
105,629504,California,Gilroy city,59520,-0.279590998,0.098031571,0.689423305,0.697460673,0.684926823,0.515678399,0.279692069,0.015361308,0.590952331,0.112743544,City,1
842,5336745,Washington,Lacey city,53526,-0.161556087,0.067463197,0.62095434,0.593272514,0.592254524,0.52970679,0.63222872,0.062418778,0.125406108,0.115070663,City,1
333,1268350,Florida,Spring Hill CDP,113568,0.092532455,0.054925508,0.38195989,0.379813504,0.520765361,0.516268141,0.723018474,0.055502539,0.18075912,0.022921243,City,NA
166,658072,California,Pomona city,151713,-0.149608831,0.066967081,0.726440595,0.784773993,0.758156578,0.505896498,0.108364157,0.056494688,0.717079805,0.109113127,City,1
452,2208920,Louisiana,Bossier City city,62701,0.276856841,0.067557252,0.448901797,0.392052385,0.353473323,0.506315203,0.585394444,0.27889462,0.086420115,0.030682218,City,0
93,622804,California,Escondido city,151038,-0.124103375,0.060349807,0.561552924,0.52202943,0.458388004,0.497475215,0.351275611,0.022227363,0.516582948,0.083569068,City,1
161,656784,California,Petaluma city,59776,-0.231749098,0.085835542,0.770959325,0.770701375,0.758853541,0.505257788,0.680583211,0.011815624,0.218951075,0.064327678,City,1
139,648354,California,Modesto city,218464,-0.089118542,0.05167774,0.540530957,0.531079175,0.539128488,0.505676901,0.441504873,0.044733228,0.402307446,0.085209956,City,1
420,1840788,Indiana,Lafayette city,70783,-0.019145801,0.060219993,0.536683023,0.495025681,0.597614221,0.501412215,0.744216806,0.086055579,0.134594453,0.016974139,City,0
562,2965126,Missouri,St. Peters city,57732,0.086958387,0.074323691,0.450136612,0.387071063,0.482896327,0.516124526,0.866272065,0.054301329,0.029979222,0.034414122,City,1
647,3825700,North Dakota,Fargo city,125990,-0.170851351,0.059747742,0.542139277,0.490412732,0.552027406,0.491438932,0.826908089,0.070449343,0.029633519,0.044548729,City,1
646,3807200,North Dakota,Bismarck city,73622,0.140950352,0.071478561,0.336841767,0.283417531,0.393288032,0.504074089,0.880525441,0.026615552,0.025310194,0.012325323,City,1
145,650258,California,Napa city,79246,-0.22246325,0.08097013,0.7164221,0.699495446,0.680429503,0.506474948,0.526443584,0.006740522,0.405126843,0.042125098,City,1
368,1571550,Hawaii,Urban Honolulu CDP,350964,-0.268033458,0.046993348,0.688221605,0.709112867,0.736542448,0.501878304,0.153763056,0.020476525,0.073435821,0.57756064,City,0
656,3925256,Ohio,Elyria city,52656,0.019255321,0.070155372,0.549272879,0.564294815,0.650897295,0.520261608,0.71821408,0.156611731,0.071254715,0.013451998,City,0
747,4824000,Texas,El Paso city,678815,-0.135419528,0.044148558,0.681157006,0.718874743,0.654364767,0.510281504,0.127668932,0.036251146,0.813570791,0.018146167,City,1
797,4879000,Texas,Wichita Falls city,102316,0.099680651,0.056584465,0.340826708,0.282870066,0.341973722,0.47206053,0.601405844,0.125758782,0.21820309,0.034484412,City,1
