contest,total.votes,year,city,office,state,council.manager,pop.estimate,turnout
660466_2016_11_rialto_CA_Mayor_mayor_1,24734,2016,rialto city,Mayor,California,1,102418,24.150051748716045
669000_2016_11_santa ana_CA_Mayor_mayor_1,67667,2016,santa ana city,Mayor,California,1,333605,20.283568891353546
681666_2016_11_vallejo_CA_Mayor_mayor_1,41223,2016,vallejo city,Mayor,California,1,119644,34.45471565644746
685292_2016_4_whittier_CA_Mayor_mayor_1,8293,2016,whittier city,Mayor,California,1,86630,9.5728962253261
2708794_2016_11_burnsville_MN_City Council_synthetic at-large a_2,43033,2016,burnsville city,City Council,Minnesota,1,61158,70.36364825533863
2735180_2016_11_lakeville_MN_City Council_synthetic at-large a_2,43010,2016,lakeville city,City Council,Minnesota,0,59786,71.93991904459239
4419180_2016_11_cranston_RI_City Council_synthetic at-large a_3,79493,2016,cranston city,City Council,Rhode Island,0,80882,98.28268341534582
602252_2016_11_antioch_CA_City Council_synthetic at-large a_2,49227,2016,antioch city,City Council,California,1,108675,45.297446514837816
602462_2016_4_arcadia_CA_City Council_synthetic at-large a_2,15745,2016,arcadia city,City Council,California,1,57755,27.261708942948665
629504_2016_11_gilroy_CA_City Council_synthetic at-large a_3,39187,2016,gilroy city,City Council,California,1,52576,74.53400791235545
650258_2016_11_napa_CA_City Council_synthetic at-large a_2,44310,2016,napa city,City Council,California,1,79567,55.688916259253205
655184_2016_11_palm desert_CA_City Council_synthetic at-large a_3,42137,2016,palm desert city,City Council,California,1,51045,82.5487315114115
656784_2016_11_petaluma_CA_City Council_synthetic at-large a_3,57740,2016,petaluma city,City Council,California,1,59757,96.62466321937178
657456_2016_11_pittsburg_CA_City Council_synthetic at-large a_2,27294,2016,pittsburg city,City Council,California,1,67998,40.13941586517251
659920_2016_11_redding_CA_City Council_synthetic at-large a_2,60841,2016,redding city,City Council,California,1,91320,66.6239597021463
660466_2016_11_rialto_CA_City Council_synthetic at-large a_2,38533,2016,rialto city,City Council,California,1,102418,37.623269347185065
681554_2016_11_vacaville_CA_City Council_synthetic at-large a_2,51342,2016,vacaville city,City Council,California,1,95607,53.70108883240767
681666_2016_11_vallejo_CA_City Council_synthetic at-large a_3,97004,2016,vallejo city,City Council,California,1,119644,81.07719568051888
1230000_2017_11_hialeah_FL_Mayor_mayor_1,14766,2017,hialeah city,Mayor,Florida,0,237523,6.216661123343845
1245000_2017_11_miami_FL_Mayor_mayor_1,25471,2017,miami city,Mayor,Florida,1,443007,5.749570548546637
1756640_2017_4_orland park_IL_Mayor_mayor_1,12396,2017,orland park village,Mayor,Illinois,1,59161,20.952992680989166
2053775_2017_11_overland park_KS_Mayor_mayor_1,22937,2017,overland park city,Mayor,Kansas,1,186147,12.32198208942395
2071000_2017_11_topeka_KS_Mayor_mayor_1,16097,2017,topeka city,Mayor,Kansas,1,127139,12.660945893864195
2208920_2017_3_bossier city_LA_Mayor_mayor_1,1,2017,bossier city city,Mayor,Louisiana,0,67511,0.00148124009420687
2537490_2017_11_lynn_MA_Mayor_mayor_1,14616,2017,lynn city,Mayor,Massachusetts,1,93069,15.704477323276278
2545000_2017_11_new bedford_MA_Mayor_mayor_1,13867,2017,new bedford city,Mayor,Massachusetts,0,95125,14.577660972404729
2670040_2017_11_royal oak_MI_Mayor_mayor_1,12011,2017,royal oak city,Mayor,Michigan,1,58973,20.366947586183507
2674900_2017_11_southfield_MI_Mayor_mayor_1,10628,2017,southfield city,Mayor,Michigan,1,73228,14.513574042715902
2686000_2017_11_westland_MI_Mayor_mayor_1,12681,2017,westland city,Mayor,Michigan,0,82172,15.43226403154359
3702140_2017_11_asheville_NC_Mayor_mayor_1,16075,2017,asheville city,Mayor,North Carolina,1,89318,17.997492106854164
3774440_2017_11_wilmington_NC_Mayor_mayor_1,10369,2017,wilmington city,Mayor,North Carolina,1,115261,8.996104493280468
3915000_2017_11_cincinnati_OH_Mayor_mayor_1,62491,2017,cincinnati city,Mayor,Ohio,1,298957,20.90300611793669
4714000_2017_3_chattanooga_TN_Mayor_mayor_1,18780,2017,chattanooga city,Mayor,Tennessee,0,176291,10.652841041232962
4803000_2017_5_amarillo_TX_Mayor_mayor_1,14018,2017,amarillo city,Mayor,Texas,1,197823,7.086132552837637
4824000_2017_6_el paso_TX_Mayor_mayor_1,30095,2017,el paso city,Mayor,Texas,1,678266,4.4370497710337835
4856348_2017_6_pearland_TX_Mayor_mayor_1,13407,2017,pearland city,Mayor,Texas,1,113693,11.792282726289217
644000_2017_3_los angeles_CA_Mayor_mayor_1,407147,2017,los angeles city,Mayor,California,0,3949776,10.308103548150578
908420_2017_11_bristol_CT_Mayor_mayor_1,12485,2017,bristol city,Mayor,Connecticut,0,60498,20.637045852755463
952000_2017_11_new haven_CT_Mayor_mayor_1,11359,2017,new haven city,Mayor,Connecticut,1,130884,8.678677302038446
1973335_2017_11_sioux city_IA_City Council_synthetic at-large b_3,14192,2017,sioux city city,City Council,Iowa,1,82568,17.18825695184575
2537490_2017_11_lynn_MA_City Council_synthetic at-large b_4,37249,2017,lynn city,City Council,Massachusetts,1,93069,40.022993692851536
2545000_2017_11_new bedford_MA_City Council_synthetic at-large b_5,41327,2017,new bedford city,City Council,Massachusetts,0,95125,43.4449408672799
3774440_2017_11_wilmington_NC_City Council_synthetic at-large b_3,29508,2017,wilmington city,City Council,North Carolina,1,115261,25.601027233843194
652526_2017_3_norwalk_CA_City Council_synthetic at-large b_1,5376,2017,norwalk city,City Council,California,1,106404,5.052441637532423
652526_2017_3_norwalk_CA_City Council_synthetic at-large b_2,9146,2017,norwalk city,City Council,California,1,106404,8.595541520995452
1217100_2018_3_delray beach_FL_Mayor_mayor_1,8510,2018,delray beach city,Mayor,Florida,1,67353,12.63492346294894
1304204_2018_5_augusta-richmond county_GA_Mayor_mayor_1,29872,2018,augusta-richmond county consolidated government (balance),Mayor,Georgia,1,196807,15.178321909281681
1938595_2018_1_iowa city_IA_Mayor_mayor_1,1,2018,iowa city city,Mayor,Iowa,1,74566,0.0013410937961000993
2603000_2018_11_ann arbor_MI_Mayor_mayor_1,42705,2018,ann arbor city,Mayor,Michigan,1,120641,35.39841347468936
2717288_2018_11_eagan_MN_Mayor_mayor_1,27333,2018,eagan city,Mayor,Minnesota,0,66363,41.18710727363139
2735180_2018_11_lakeville_MN_Mayor_mayor_1,27203,2018,lakeville city,Mayor,Minnesota,0,62489,43.53246171326153
3451000_2018_5_newark_NJ_Mayor_mayor_1,28604,2018,newark city,Mayor,New Jersey,0,280463,10.198849759148265
3825700_2018_6_fargo_ND_Mayor_mayor_1,8991,2018,fargo city,Mayor,North Dakota,1,120209,7.4794732507549355
4131250_2018_11_gresham_OR_Mayor_mayor_1,33041,2018,gresham city,Mayor,Oregon,1,110770,29.828473413379076
423620_2018_11_flagstaff_AZ_Mayor_mayor_1,18664,2018,flagstaff city,Mayor,Arizona,1,71202,26.21274683295413
